Group,Species or closers taxonomic level,Conventional (prev.),Conventional (rel. abund.),Organic (prev.),Organic (rel. abund.),C. annuum (prev.),C. annuum (rel. abund.),C. baccatum (prev.),C. baccatum (rel. abund.),C. chinense (prev.),C. chinense (rel. abund.),Hybrid A (prev.),Hybrid A (rel. abund.),Hybrid B (prev.),Hybrid B (rel. abund.),Bola (prev.),Bola (rel. abund.),Cali. Wond. Red (prev.),Cali. Wond. Red (rel. abund.),Piquillo (prev.),Piquillo (rel. abund.),Serrano (prev.),Serrano (rel. abund.),Blank (prev.),Blank (rel. abund.),"Simonin et al. (2020, prev.)","Simonin et al. (2020, rel. abund.)"
Bacteria,Unid_Ilumatobacteraceae64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.18%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Ktedonobacteria248,40.82%,0.07%,27.66%,0.05%,33.33%,0.05%,33.33%,0.06%,NA,NA,27.27%,0.03%,60.00%,0.13%,36.36%,0.07%,27.27%,0.02%,36.36%,0.05%,33.33%,0.05%,50.00%,0.08%,NA,NA
Bacteria,Unid_Latescibacterota_309,36.73%,0.21%,34.04%,0.29%,35.56%,0.26%,NA,NA,41.67%,0.33%,27.27%,0.16%,40.00%,0.19%,27.27%,0.14%,36.36%,0.35%,36.36%,0.24%,41.67%,0.23%,66.67%,0.47%,NA,NA
Bacteria,Unid_Longimicrobiaceae_299,34.69%,0.26%,46.81%,0.30%,37.78%,0.26%,NA,NA,33.33%,0.12%,54.55%,0.38%,60.00%,0.44%,NA,NA,45.45%,0.17%,45.45%,0.47%,50.00%,0.30%,66.67%,0.46%,NA,NA
Bacteria,Unid_Methylophilaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Micavibrionales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.04%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Micrococcaceae,53.06%,0.66%,53.19%,0.78%,51.11%,0.70%,50.00%,0.65%,41.67%,0.58%,54.55%,0.53%,60.00%,0.85%,45.45%,0.57%,45.45%,0.48%,63.64%,0.90%,50.00%,0.60%,83.33%,0.98%,NA,NA
Bacteria,Unid_Micromonosporaceae,51.02%,5.04%,40.43%,5.43%,44.44%,4.65%,NA,NA,50.00%,6.26%,63.64%,13.96%,70.00%,2.80%,54.55%,3.26%,45.45%,3.29%,27.27%,0.35%,50.00%,8.09%,50.00%,0.29%,NA,NA
Bacteria,Unid_Microscillaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.09%,27.27%,0.04%,NA,NA,NA,NA,NA,NA,NA,NA,"43%, 37%, 33%","0.19%, 0.08%, 0.10%"
Bacteria,Unid_Microscillaceae136,59.18%,1.87%,55.32%,1.30%,55.56%,1.47%,50.00%,1.26%,50.00%,1.24%,63.64%,2.20%,60.00%,1.62%,54.55%,1.26%,63.64%,1.60%,54.55%,1.50%,50.00%,1.06%,83.33%,1.26%,"43%, 37%, 33%","0.19%, 0.08%, 0.10%"
Bacteria,Unid_Microscillaceae139,26.53%,0.10%,44.68%,0.39%,31.11%,0.20%,41.67%,0.16%,25.00%,0.09%,NA,NA,40.00%,0.16%,27.27%,0.19%,27.27%,0.11%,45.45%,0.29%,25.00%,0.13%,100.00%,1.18%,"43%, 37%, 33%","0.19%, 0.08%, 0.10%"
Bacteria,Unid_Microscillaceae141,34.69%,0.53%,NA,NA,28.89%,0.50%,NA,NA,25.00%,0.13%,27.27%,0.12%,NA,NA,45.45%,0.20%,36.36%,1.30%,NA,NA,NA,NA,NA,NA,"43%, 37%, 33%","0.19%, 0.08%, 0.10%"
Bacteria,Unid_Myxococcaceae,28.57%,0.15%,25.53%,0.11%,26.67%,0.10%,NA,NA,NA,NA,45.45%,0.22%,40.00%,0.29%,27.27%,0.06%,36.36%,0.21%,27.27%,0.06%,NA,NA,33.33%,0.12%,NA,NA
Bacteria,Unid_Myxococcaceae328,32.65%,0.09%,27.66%,0.07%,35.56%,0.11%,NA,NA,NA,NA,NA,NA,30.00%,0.04%,36.36%,0.11%,36.36%,0.12%,36.36%,0.09%,33.33%,0.08%,83.33%,0.24%,NA,NA
Bacteria,Unid_Myxococcota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.11%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Myxococcota318,26.53%,0.09%,29.79%,0.12%,31.11%,0.10%,NA,NA,41.67%,0.14%,36.36%,0.12%,NA,NA,27.27%,0.07%,45.45%,0.14%,27.27%,0.08%,25.00%,0.09%,NA,NA,NA,NA
Bacteria,Unid_Myxococcota321,28.57%,0.46%,42.55%,0.69%,28.89%,0.44%,41.67%,0.59%,25.00%,0.40%,45.45%,0.49%,NA,NA,36.36%,0.61%,27.27%,0.33%,27.27%,0.28%,25.00%,0.42%,100.00%,2.07%,NA,NA
Bacteria,Unid_Nannocystaceae,NA,NA,NA,NA,NA,NA,25.00%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Nannocystaceae346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.01%,NA,NA
Bacteria,Unid_Nitrosomonadaceae,42.86%,0.39%,44.68%,0.34%,33.33%,0.22%,50.00%,0.37%,50.00%,0.42%,45.45%,0.49%,50.00%,0.51%,36.36%,0.12%,NA,NA,27.27%,0.14%,50.00%,0.47%,83.33%,0.70%,"27%, 28%","0.04%, 0.03%"
Bacteria,Unid_Nitrosomonadaceae533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.35%,27.27%,0.26%,NA,NA,NA,NA,"27%, 28%","0.04%, 0.03%"
Bacteria,Unid_Nitrosomonadaceae536,51.02%,0.91%,55.32%,0.86%,53.33%,0.91%,50.00%,0.71%,50.00%,0.67%,36.36%,0.50%,50.00%,1.02%,54.55%,0.98%,54.55%,0.87%,54.55%,0.92%,50.00%,0.62%,100.00%,1.61%,"27%, 28%","0.04%, 0.03%"
Bacteria,Unid_Nitrosomonadaceae538,42.86%,0.47%,44.68%,0.48%,42.22%,0.43%,41.67%,0.37%,25.00%,0.24%,54.55%,0.40%,30.00%,0.23%,36.36%,0.25%,54.55%,0.59%,45.45%,0.44%,33.33%,0.30%,100.00%,1.72%,"27%, 28%","0.04%, 0.03%"
Bacteria,Unid_Nocardioidaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.45%,0.49%,30.00%,0.28%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Obscuribacteraceae_256,38.78%,0.10%,NA,NA,26.67%,0.28%,25.00%,0.10%,25.00%,0.05%,27.27%,0.07%,NA,NA,NA,NA,27.27%,0.06%,36.36%,0.81%,25.00%,0.05%,66.67%,0.12%,NA,NA
Bacteria,Unid_Oligoflexia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.09%,NA,NA
Bacteria,Unid_Opitutaceae,48.98%,0.54%,53.19%,0.73%,48.89%,0.71%,41.67%,0.44%,41.67%,0.47%,54.55%,0.56%,60.00%,0.58%,54.55%,0.56%,36.36%,0.57%,63.64%,1.00%,41.67%,0.49%,83.33%,0.72%,NA,NA
Bacteria,Unid_Pedosphaeraceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.18%,NA,NA
Bacteria,Unid_Pedosphaeraceae_0,26.53%,0.09%,25.53%,0.12%,26.67%,0.08%,NA,NA,33.33%,0.06%,NA,NA,30.00%,0.05%,27.27%,0.06%,27.27%,0.13%,54.55%,0.14%,NA,NA,50.00%,0.64%,NA,NA
Bacteria,Unid_Pedosphaeraceae_633,34.69%,0.08%,44.68%,0.14%,33.33%,0.06%,50.00%,0.14%,33.33%,0.06%,45.45%,0.13%,NA,NA,54.55%,0.10%,36.36%,0.06%,NA,NA,33.33%,0.07%,100.00%,0.41%,NA,NA
Bacteria,Unid_Pedosphaeraceae_635,48.98%,0.85%,42.55%,0.53%,48.89%,0.74%,50.00%,0.73%,41.67%,0.54%,36.36%,0.51%,60.00%,1.04%,54.55%,0.80%,54.55%,0.60%,36.36%,0.65%,50.00%,0.70%,NA,NA,NA,NA
Bacteria,Unid_Pedosphaeraceae629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.02%,NA,NA,NA,NA,33.33%,0.08%,NA,NA
Bacteria,Unid_Pedosphaeraceae637,NA,NA,36.17%,0.44%,NA,NA,33.33%,0.38%,41.67%,0.20%,NA,NA,30.00%,0.23%,NA,NA,NA,NA,NA,NA,50.00%,0.45%,50.00%,0.78%,NA,NA
Bacteria,Unid_Pedosphaeraceae641,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.25%,27.27%,0.20%,NA,NA,NA,NA,45.45%,0.36%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Phycisphaeraceae,NA,NA,27.66%,0.06%,26.67%,0.07%,NA,NA,NA,NA,36.36%,0.08%,30.00%,0.06%,36.36%,0.08%,NA,NA,27.27%,0.10%,25.00%,0.05%,50.00%,0.09%,NA,NA
Bacteria,Unid_Phycisphaeraceae425,42.86%,0.28%,42.55%,0.35%,46.67%,0.35%,33.33%,0.31%,25.00%,0.16%,54.55%,0.42%,50.00%,0.32%,54.55%,0.37%,45.45%,0.28%,45.45%,0.32%,41.67%,0.31%,33.33%,0.13%,NA,NA
Bacteria,Unid_Phycisphaeraceae427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.20%,NA,NA
Bacteria,Unid_Phycisphaeraceae432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.05%,NA,NA,NA,NA,NA,NA,27.27%,0.06%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Phycisphaeraceae433,28.57%,0.06%,34.04%,0.07%,28.89%,0.06%,25.00%,0.08%,50.00%,0.08%,45.45%,0.08%,30.00%,0.07%,27.27%,0.04%,36.36%,0.10%,27.27%,0.04%,25.00%,0.03%,NA,NA,NA,NA
Bacteria,Unid_Phycisphaeraceae435,NA,NA,34.04%,0.05%,31.11%,0.05%,NA,NA,25.00%,0.05%,27.27%,0.03%,40.00%,0.07%,NA,NA,27.27%,0.04%,54.55%,0.08%,25.00%,0.04%,NA,NA,NA,NA
Bacteria,Unid_Phycisphaeraceae436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.03%,NA,NA
Bacteria,Unid_Phycisphaeraceae437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.06%,NA,NA,NA,NA,27.27%,0.03%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Phycisphaeraceae439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.03%,NA,NA,NA,NA
Bacteria,Unid_Phycisphaeraceae443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.06%,NA,NA
Bacteria,Unid_Pirellulaceae469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.03%,NA,NA
Bacteria,Unid_Pirellulaceae473,NA,NA,NA,NA,NA,NA,25.00%,0.13%,25.00%,0.13%,27.27%,0.08%,NA,NA,NA,NA,27.27%,0.07%,36.36%,0.09%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Pirellulaceae482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.00%,NA,NA,NA,NA
Bacteria,Unid_Pirellulaceae484,46.94%,0.12%,36.17%,0.08%,42.22%,0.08%,50.00%,0.11%,41.67%,0.13%,NA,NA,50.00%,0.17%,45.45%,0.09%,45.45%,0.08%,36.36%,0.06%,41.67%,0.08%,50.00%,0.12%,NA,NA
Bacteria,Unid_Pirellulaceae485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.03%,NA,NA,NA,NA,NA,NA,27.27%,0.04%,NA,NA,33.33%,0.03%,NA,NA
Bacteria,Unid_Planctomycetales,NA,NA,31.91%,0.05%,26.67%,0.04%,NA,NA,33.33%,0.04%,27.27%,0.07%,30.00%,0.05%,NA,NA,36.36%,0.04%,45.45%,0.07%,NA,NA,33.33%,0.05%,NA,NA
Bacteria,Unid_Planctomycetales491,38.78%,0.05%,36.17%,0.05%,35.56%,0.06%,25.00%,0.03%,25.00%,0.02%,54.55%,0.06%,50.00%,0.09%,36.36%,0.06%,36.36%,0.08%,54.55%,0.06%,NA,NA,50.00%,0.04%,NA,NA
Bacteria,Unid_Planctomycetales492,34.69%,0.10%,34.04%,0.10%,35.56%,0.11%,33.33%,0.07%,25.00%,0.07%,45.45%,0.10%,40.00%,0.10%,36.36%,0.15%,36.36%,0.09%,27.27%,0.05%,41.67%,0.12%,NA,NA,NA,NA
Bacteria,Unid_Planctomycetales493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.04%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Planctomycetota416,42.86%,0.23%,42.55%,0.19%,42.22%,0.20%,41.67%,0.08%,50.00%,0.24%,27.27%,0.08%,50.00%,0.24%,36.36%,0.15%,45.45%,0.19%,45.45%,0.16%,41.67%,0.24%,50.00%,0.55%,NA,NA
Bacteria,Unid_Planctomycetota417,53.06%,0.16%,48.94%,0.21%,53.33%,0.20%,41.67%,0.18%,50.00%,0.15%,45.45%,0.17%,50.00%,0.14%,54.55%,0.20%,54.55%,0.21%,54.55%,0.16%,50.00%,0.16%,66.67%,0.18%,NA,NA
Bacteria,Unid_Planctomycetota418,57.14%,0.53%,57.45%,1.01%,55.56%,0.78%,50.00%,0.75%,50.00%,0.25%,54.55%,0.68%,60.00%,0.43%,54.55%,0.84%,63.64%,0.86%,54.55%,0.62%,50.00%,0.56%,100.00%,2.04%,NA,NA
Bacteria,Unid_Planctomycetota423,NA,NA,NA,NA,NA,NA,25.00%,0.02%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.05%,NA,NA
Bacteria,Unid_Planctomycetota424,NA,NA,34.04%,0.08%,NA,NA,33.33%,0.09%,25.00%,0.05%,36.36%,0.05%,NA,NA,NA,NA,27.27%,0.04%,NA,NA,33.33%,0.06%,83.33%,0.27%,NA,NA
Bacteria,Unid_Planctomycetota448,NA,NA,27.66%,0.08%,NA,NA,25.00%,0.06%,NA,NA,27.27%,0.06%,NA,NA,36.36%,0.10%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Planctomycetota449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.36%,0.06%,NA,NA,NA,NA,NA,NA,33.33%,0.06%,NA,NA
Bacteria,Unid_Planctomycetota450,32.65%,0.14%,46.81%,0.24%,37.78%,0.17%,41.67%,0.16%,25.00%,0.14%,45.45%,0.21%,40.00%,0.15%,27.27%,0.18%,45.45%,0.16%,36.36%,0.14%,41.67%,0.14%,66.67%,0.39%,NA,NA
Bacteria,Unid_Planctomycetota451,NA,NA,NA,NA,35.56%,0.07%,NA,NA,NA,NA,27.27%,0.06%,NA,NA,36.36%,0.08%,NA,NA,45.45%,0.08%,41.67%,0.08%,33.33%,0.11%,NA,NA
Bacteria,Unid_Planctomycetota452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.04%,66.67%,0.18%,NA,NA
Bacteria,Unid_Planococcaceae,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,6.55%,NA,NA,30.00%,0.03%,NA,NA,36.36%,0.03%,NA,NA,NA,NA,50.00%,0.06%,NA,NA
Bacteria,Unid_Polyangiales,38.78%,0.29%,42.55%,0.31%,37.78%,0.27%,25.00%,0.24%,25.00%,0.15%,54.55%,0.40%,40.00%,0.17%,45.45%,0.21%,36.36%,0.23%,36.36%,0.31%,33.33%,0.27%,100.00%,0.78%,NA,NA
Bacteria,Unid_Polyangiales348,26.53%,0.20%,42.55%,0.47%,33.33%,0.31%,33.33%,0.34%,33.33%,0.37%,NA,NA,40.00%,0.44%,NA,NA,45.45%,0.37%,36.36%,0.32%,33.33%,0.25%,66.67%,0.45%,NA,NA
Bacteria,Unid_Polyangiales351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.12%,NA,NA,33.33%,0.21%,NA,NA,NA,NA
Bacteria,Unid_Polyangiales352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.14%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Pyrinomonadaceae,44.90%,0.73%,53.19%,0.65%,53.33%,0.81%,33.33%,0.42%,41.67%,0.52%,NA,NA,60.00%,0.84%,54.55%,0.77%,54.55%,0.60%,54.55%,0.92%,50.00%,0.71%,100.00%,1.07%,"33%, 28%, 27%","0.07%, 0.08%, 0.03%"
Bacteria,Unid_Pyrinomonadaceae17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.25%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00%,0.30%,"33%, 28%, 27%","0.07%, 0.08%, 0.03%"
Bacteria,Unid_Rhizobiaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.07%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Rhizobiaceae509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,2.03%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Rhizobiales506,26.53%,0.08%,48.94%,0.19%,40.00%,0.14%,33.33%,0.12%,33.33%,0.13%,45.45%,0.12%,NA,NA,45.45%,0.17%,36.36%,0.09%,27.27%,0.08%,50.00%,0.17%,50.00%,0.19%,NA,NA
Bacteria,Unid_Rhodanobacteraceae597,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.09%,36.36%,0.09%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Rokubacteriales_315,46.94%,0.66%,46.81%,0.55%,44.44%,0.49%,41.67%,0.46%,50.00%,0.68%,45.45%,0.59%,40.00%,0.54%,45.45%,0.57%,54.55%,0.56%,45.45%,0.32%,33.33%,0.39%,83.33%,1.43%,NA,NA
Bacteria,Unid_Roseiflexaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.08%,NA,NA,NA,NA,27.27%,0.29%,NA,NA,33.33%,0.09%,NA,NA
Bacteria,Unid_Rubinisphaeraceae489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.09%,NA,NA
Bacteria,Unid_Saccharimonadales_0,38.78%,0.14%,31.91%,0.08%,37.78%,0.16%,25.00%,0.05%,25.00%,0.04%,36.36%,0.08%,40.00%,0.11%,27.27%,0.07%,45.45%,0.24%,54.55%,0.17%,25.00%,0.08%,50.00%,0.07%,NA,NA
Bacteria,Unid_Saccharimonadales_406,38.78%,0.12%,40.43%,0.14%,44.44%,0.12%,25.00%,0.17%,41.67%,0.14%,45.45%,0.16%,40.00%,0.07%,36.36%,0.08%,45.45%,0.10%,45.45%,0.15%,50.00%,0.12%,NA,NA,NA,NA
Bacteria,Unid_Saccharimonadales400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.67%,0.27%,NA,NA
Bacteria,Unid_Saccharimonadales401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.19%,NA,NA,NA,NA,NA,NA,33.33%,0.18%,NA,NA,NA,NA
Bacteria,Unid_Saccharimonadales403,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.15%,NA,NA,NA,NA,NA,NA,27.27%,0.09%,36.36%,0.25%,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Sandaracinaceae363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.15%,NA,NA,NA,NA,27.27%,0.10%,NA,NA,33.33%,0.06%,NA,NA
Bacteria,Unid_Sandaracinaceae364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.05%,NA,NA,NA,NA,27.27%,0.03%,25.00%,0.04%,33.33%,0.02%,NA,NA
Bacteria,Unid_Saprospiraceae,44.90%,0.30%,25.53%,0.12%,35.56%,0.21%,41.67%,0.20%,33.33%,0.19%,27.27%,0.20%,40.00%,0.25%,27.27%,0.12%,NA,NA,45.45%,0.27%,50.00%,0.27%,33.33%,0.21%,NA,NA
Bacteria,Unid_Saprospiraceae118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.10%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Solimonadaceae584,26.53%,0.04%,34.04%,0.06%,37.78%,0.05%,25.00%,0.05%,NA,NA,54.55%,0.12%,NA,NA,45.45%,0.04%,27.27%,0.04%,36.36%,0.04%,41.67%,0.05%,NA,NA,NA,NA
Bacteria,Unid_Solirubrobacterales,38.78%,0.25%,46.81%,0.30%,42.22%,0.29%,41.67%,0.16%,41.67%,0.29%,45.45%,0.15%,50.00%,0.30%,36.36%,0.41%,54.55%,0.26%,36.36%,0.15%,41.67%,0.28%,33.33%,0.40%,NA,NA
Bacteria,Unid_Solirubrobacterales91,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.14%,NA,NA,50.00%,0.32%,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.07%,NA,NA
Bacteria,Unid_Solirubrobacterales92,51.02%,0.43%,46.81%,0.53%,46.67%,0.33%,33.33%,0.35%,50.00%,0.61%,45.45%,0.36%,60.00%,0.81%,36.36%,0.16%,63.64%,0.47%,36.36%,0.19%,50.00%,0.38%,83.33%,0.97%,NA,NA
Bacteria,Unid_Solirubrobacterales94,30.61%,0.33%,31.91%,0.38%,26.67%,0.27%,41.67%,0.48%,25.00%,0.34%,36.36%,0.41%,40.00%,0.51%,NA,NA,27.27%,0.29%,45.45%,0.31%,25.00%,0.28%,33.33%,0.27%,NA,NA
Bacteria,Unid_Sphingobacteriales158,32.65%,0.04%,NA,NA,NA,NA,NA,NA,33.33%,0.04%,27.27%,0.03%,NA,NA,27.27%,0.03%,27.27%,0.06%,NA,NA,25.00%,0.04%,33.33%,0.04%,NA,NA
Bacteria,Unid_Sphingobacteriales160,34.69%,0.17%,40.43%,0.20%,44.44%,0.21%,33.33%,0.18%,25.00%,0.14%,27.27%,0.13%,30.00%,0.18%,45.45%,0.18%,36.36%,0.26%,45.45%,0.16%,50.00%,0.17%,50.00%,0.14%,NA,NA
Bacteria,Unid_Sphingobacteriales163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00%,0.05%,NA,NA,NA,NA,27.27%,0.20%,NA,NA,33.33%,0.11%,NA,NA
Bacteria,Unid_Sphingobacteriales168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27%,0.02%,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Sphingobacteriales169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33%,0.08%,NA,NA
Bacteria,Unid_Sphingobacteriales171,34.69%,0.12%,29.79%,0.09%,33.33%,0.11%,33.33%,0.15%,25.00%,0.07%,27.27%,0.07%,30.00%,0.06%,27.27%,0.08%,45.45%,0.11%,27.27%,0.10%,33.33%,0.10%,50.00%,0.13%,NA,NA
Bacteria,Unid_Sphingomonadaceae,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bacteria,Unid_Steroidobacteraceae,NA,NA,29.79%,0.10%,31.11%,0.10%,NA,NA,NA,NA,27.27%,0.01%,NA,NA,27.27%,0.26%,45.45%,0.06%,27.27%,0.05%,25.00%,0.03%,50.00%,0.07%,32.00%,0.05%
Bacteria,Unid_Steroidobacteraceae588,46.94%,0.19%,40.43%,0.17%,40.00%,0.13%,50.00%,0.23%,41.67%,0.23%,36.36%,0.07%,40.00%,0.12%,45.45%,0.15%,36.36%,0.07%,36.36%,0.12%,41.67%,0.15%,83.33%,0.51%,32.00%,0.05%
Bacteria,Unid_Steroidobacteraceae589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.00%,0.06%,NA,NA,32.00%,0.05%
Bacteria,Unid_Tepidisphaerales,53.06%,0.87%,55.32%,1.01%,53.33%,1.08%,50.00%,0.76%,50.00%,0.68%,45.45%,0.44%,60.00%,1.14%,45.45%,0.58%,54.55%,0.90%,63.64%,1.72%,50.00%,0.73%,83.33%,0.93%,NA,NA
Bacteria,Unid_Tepidisphaerales_0,42.86%,0.17%,34.04%,0.10%,40.00%,0.15%,33.33%,0.11%,41.67%,0.14%,27.27%,0.06%,50.00%,0.20%,36.36%,0.12%,36.36%,0.12%,45.45%,0.18%,41.67%,0.14%,33.33%,0.09%,NA,NA
Bacteria,Unid_Tepidisphaerales445,55.10%,0.70%,48.94%,0.54%,51.11%,0.63%,25.00%,0.34%,50.00%,0.52%,54.55%,0.70%,60.00%,0.68%,54.55%,0.70%,54.55%,0.65%,54.55%,0.60%,41.67%,0.39%,100.00%,0.90%,NA,NA
Bacteria,Unid_Tepidisphaerales446,55.10%,0.65%,53.19%,0.56%,51.11%,0.58%,41.67%,0.59%,50.00%,0.45%,54.55%,0.56%,60.00%,0.86%,45.45%,0.49%,54.55%,0.50%,54.55%,0.56%,50.00%,0.58%,100.00%,0.60%,NA,NA
Bacteria,Unid_Tepidisphaerales447,51.02%,0.56%,42.55%,0.47%,48.89%,0.53%,41.67%,0.54%,41.67%,0.44%,54.55%,0.51%,50.00%,0.51%,54.55%,0.55%,54.55%,0.57%,45.45%,0.42%,41.67%,0.43%,33.33%,0.31%,NA,NA
Bacteria,Unid_Thermomicrobiales,30.61%,0.07%,29.79%,0.06%,28.89%,0.06%,33.33%,0.04%,NA,NA,27.27%,0.05%,40.00%,0.07%,36.36%,0.11%,36.36%,0.06%,27.27%,0.05%,NA,NA,50.00%,0.09%,NA,NA
Bacteria,Unid_Thermomicrobiales220,NA,NA,25.53%,0.13%,NA,NA,NA,NA,25.00%,0.11%,36.36%,0.18%,40.00%,0.20%,NA,NA,27.27%,0.12%,27.27%,0.11%,25.00%,0.08%,NA,NA,NA,NA
